from,to,value,type,lng1,lat1,lng2,lat2
aa,bb,1.00,move_out,114.0645851,22.66651445,87.53780379,43.88312785
aa,bb,1.00,move_out,113.960667,22.574873,87.54073772,43.89367093
aa,bb,1.00,move_out,113.9880984,22.55701039,87.54563105,43.80788574
aa,bb,1.00,move_out,113.9507227,22.55888775,87.5492188,43.89832429
aa,bb,1.00,move_out,113.9893764,22.59049752,87.5492188,43.89832429
aa,bb,1.00,move_out,113.906021,22.52773354,87.56498774,43.84038035
aa,bb,1.00,move_out,113.9288428,22.51361911,87.56498774,43.84038035
aa,bb,1.00,move_out,113.9468651,22.55101383,87.56498774,43.84038035
aa,bb,1.00,move_out,113.9556369,22.54703416,87.56498774,43.84038035
aa,bb,1.00,move_out,113.959018,22.54166791,87.56498774,43.84038035
aa,bb,1.00,move_out,113.9596298,22.54344371,87.56498774,43.84038035
aa,bb,1.00,move_out,113.9596298,22.54344371,87.56498774,43.84038035
aa,bb,1.00,move_out,113.9596298,22.54344371,87.56498774,43.84038035
aa,bb,1.00,move_out,114.0555928,22.55173057,87.56498774,43.84038035
aa,bb,1.00,move_out,114.0622616,22.53865433,87.56498774,43.84038035
aa,bb,1.00,move_out,113.9817428,22.56137518,87.58408446,43.87767237
aa,bb,1.00,move_out,113.9467842,22.55604732,87.59916344,43.89879407
aa,bb,1.00,move_out,114.3476957,22.65746229,87.59916344,43.89879407
aa,bb,1.00,move_out,114.3476957,22.65746229,87.59916344,43.89879407
aa,bb,1.00,move_out,114.1040613,22.56370199,87.60425154,43.80855237
aa,bb,1.00,move_out,113.9892145,22.55749518,87.61082567,43.86422568
aa,bb,1.00,move_out,114.1261757,22.54684903,87.61655547,43.815971
aa,bb,1.00,move_out,114.1294162,22.61350968,87.6212982,43.7978351
aa,bb,1.00,move_out,113.9300216,22.52272213,87.66801377,43.84390723
aa,bb,1.00,move_out,113.9519422,22.54408318,87.66801377,43.84390723
aa,bb,1.00,move_out,114.013205,22.65425556,87.66801377,43.84390723
aa,bb,1.00,move_out,113.9510061,22.54013397,87.76565143,43.99228403
aa,bb,1.00,move_out,113.8087868,22.68778223,88.13791549,47.83974449
aa,bb,1.00,move_out,114.3476957,22.65746229,88.2705561,42.35184616
aa,bb,1.00,move_out,113.9435268,22.6334886,88.86729058,44.78773171
aa,bb,1.00,move_out,114.0661347,22.61059702,88.95606277,29.26816003
aa,bb,1.00,move_out,113.9471796,22.55479505,90.29500762,43.85498247
aa,bb,1.00,move_out,113.9936295,22.55305146,91.01835441,29.6426797
aa,bb,1.00,move_out,113.9936295,22.55305146,91.02285136,29.63976024
aa,bb,1.00,move_out,113.9936295,22.55305146,91.02285136,29.63976024
aa,bb,1.00,move_out,113.995517,22.69037831,91.02653735,29.6483073
aa,bb,1.00,move_out,114.4227421,22.64144071,91.02653735,29.6483073
aa,bb,1.00,move_out,114.0661347,22.61059702,91.02790035,29.64780667
aa,bb,1.00,move_out,113.906021,22.52773354,91.0805447,29.62828445
aa,bb,1.00,move_out,114.0436693,22.64592703,91.0805447,29.62828445
aa,bb,1.00,move_out,113.879046,22.60136072,91.08418294,29.62461314
aa,bb,1.00,move_out,114.1014688,22.55026025,91.08683441,29.63938099
aa,bb,1.00,move_out,113.9529114,22.74368437,91.08961328,29.61869464
aa,bb,1.00,move_out,114.1056516,22.77131843,91.09403001,29.63341109
aa,bb,1.00,move_out,114.2677847,22.59780978,91.09430432,29.63075565
aa,bb,1.00,move_out,114.1014688,22.55026025,91.09439086,29.62267387
aa,bb,1.00,move_out,114.1162917,22.54864695,91.09472783,29.62386156
aa,bb,1.00,move_out,113.8713275,22.63562613,91.11634595,29.66657789
aa,bb,1.00,move_out,113.953504,22.54918749,91.32469015,29.67323892
aa,bb,1.00,move_out,113.9507227,22.55888775,91.34782344,29.67556048
aa,bb,1.00,move_out,113.9507227,22.55888775,91.47390085,29.74766556
aa,bb,1.00,move_out,113.9936295,22.55305146,91.67467121,29.76020265
aa,bb,1.00,move_out,113.9236114,22.50177386,92.22087273,28.35498238
aa,bb,1.00,move_out,114.0436877,22.70469521,92.78152092,43.17585703
aa,bb,1.00,move_out,114.0381032,22.5382824,92.8841372,43.61854016
aa,bb,1.00,move_out,113.9291455,22.70070342,93.3416443,38.88142327
aa,bb,1.00,move_out,113.9529114,22.74368437,93.49450602,42.86173154
aa,bb,1.00,move_out,114.0555928,22.55173057,93.52471366,42.85796956
aa,bb,1.00,move_out,113.9471796,22.55479505,93.55473886,42.83501915
aa,bb,1.00,move_out,113.9542925,22.53671204,94.38427809,29.63648377
