from,to,value,type,lng1,lat1,lng2,lat2
aa,bb,1.00,move_in,120.8128969,30.75791528,113.9334032,22.54648635
aa,bb,1.00,move_in,113.8788689,27.64539499,113.9468651,22.55101383
aa,bb,1.00,move_in,114.3476957,22.65746229,113.8918194,22.60465816
aa,bb,1.00,move_in,114.0626723,22.51218111,113.9471812,22.54673512
aa,bb,1.00,move_in,114.054284,22.60824019,113.9471812,22.54673512
aa,bb,1.00,move_in,114.1323148,22.5635478,114.1323148,22.5635478
aa,bb,1.00,move_in,113.9097928,22.52112796,114.0483864,22.51216299
aa,bb,1.00,move_in,113.8948837,22.61573794,113.9300131,22.70743279
aa,bb,1.00,move_in,113.8543663,22.63236997,113.8543663,22.63236997
aa,bb,1.00,move_in,113.9097928,22.52112796,113.9631658,22.54363589
aa,bb,1.00,move_in,114.0383825,22.54114968,113.9164807,22.78611524
aa,bb,1.00,move_in,114.0703391,22.53983727,114.0007717,22.59801883
aa,bb,1.00,move_in,120.976093,31.4288908,113.8713275,22.63562613
aa,bb,1.00,move_in,114.071415,22.54707035,113.9987065,22.5431793
aa,bb,1.00,move_in,117.0824168,29.22807252,114.02668,22.75084999
aa,bb,1.00,move_in,113.9507227,22.55888775,113.9606378,22.53673478
aa,bb,1.00,move_in,117.390468,39.16115534,114.1016784,22.56473793
aa,bb,1.00,move_in,113.9097928,22.52112796,114.1114375,22.55226343
aa,bb,1.00,move_in,113.9097928,22.52112796,114.0275085,22.54664197
aa,bb,1.00,move_in,114.0523628,22.54617413,114.0622523,22.56892983
aa,bb,1.00,move_in,114.3476957,22.65746229,114.3476957,22.65746229
aa,bb,1.00,move_in,113.9635635,22.56405568,113.9516181,22.56307186
aa,bb,1.00,move_in,113.9435947,22.5279827,113.9215545,22.58571455
aa,bb,1.00,move_in,113.9573498,22.55628947,113.9573498,22.55628947
aa,bb,1.00,move_in,113.9556369,22.54703416,113.9573498,22.55628947
aa,bb,1.00,move_in,113.4111098,24.30580019,113.9432951,22.55115846
aa,bb,1.00,move_in,113.9507227,22.55888775,113.9692354,22.5911856
aa,bb,1.00,move_in,116.5316313,39.79020533,113.9507227,22.55888775
aa,bb,1.00,move_in,113.9352716,22.54660369,113.9879635,22.69674398
aa,bb,1.00,move_in,121.1992938,31.45378015,113.9090641,22.80273096
aa,bb,1.00,move_in,114.2784829,22.60698134,114.277834,22.59181009
aa,bb,1.00,move_in,114.0858957,22.71563265,114.0049558,22.74259174
aa,bb,1.00,move_in,113.91575,22.65927221,113.91575,22.65927221
aa,bb,1.00,move_in,113.5549619,22.11917602,113.91575,22.65927221
aa,bb,1.00,move_in,114.030152,22.54079619,114.3141851,22.78377059
aa,bb,1.00,move_in,114.0701499,22.54790886,113.9626962,22.54187983
aa,bb,1.00,move_in,114.0549581,22.55398403,113.9300131,22.70743279
aa,bb,1.00,move_in,113.9600696,22.54795233,113.9598336,22.54793197
aa,bb,1.00,move_in,113.8310439,22.70713133,114.0423437,22.64617826
aa,bb,1.00,move_in,114.0523731,22.67780917,114.0523731,22.67780917
